Hour,Count
0.0,5723
1.0,4405
2.0,3682
3.0,3729
4.0,3675
5.0,5176
6.0,11591
7.0,21438
8.0,64480
9.0,128107
10.0,152673
11.0,151036
12.0,140983
13.0,146964
14.0,131024
15.0,118655
16.0,98152
17.0,72885
18.0,51082
19.0,33655
20.0,23851
21.0,12342
22.0,8178
23.0,7768
